Date,Open,High,Low,Close,Adj Close,Volume
15-05-2013,136.589996,136.979996,134.229996,134.630005,134.630005,19062400
16-05-2013,133.179993,134.479996,133,134.089996,134.089996,12759200
17-05-2013,133.169998,133.479996,131.020004,131.070007,131.070007,20346500
20-05-2013,130.880005,135.320007,130.850006,135.119995,135.119995,21594000
21-05-2013,132.169998,133.649994,131.449997,132.880005,132.880005,14542500
22-05-2013,134.179993,136.770004,130.949997,131.940002,131.940002,25975200
23-05-2013,134.509995,134.839996,133.119995,134.610001,134.610001,10267600
24-05-2013,134.110001,134.509995,133.639999,133.759995,133.759995,5522600
28-05-2013,133.679993,135.570007,132.800003,133.490005,133.490005,12466400
29-05-2013,134.089996,134.910004,133.639999,134.830002,134.830002,8762200
30-05-2013,136.669998,137.110001,136.259995,136.699997,136.699997,8611700
31-05-2013,135.710007,136.050003,133.889999,133.919998,133.919998,9726600
03-06-2013,134.770004,136.979996,134.429993,136.509995,136.509995,9173000
04-06-2013,135.210007,135.440002,134.270004,135.229996,135.229996,5505200
05-06-2013,135.470001,136.369995,135.009995,135.520004,135.520004,7444900
06-06-2013,135.389999,137.619995,134.979996,136.529999,136.529999,9847700
07-06-2013,134.110001,134.619995,133.179993,133.279999,133.279999,11054400
10-06-2013,133.300003,134.279999,132.990005,133.940002,133.940002,6142800
11-06-2013,132.309998,133.509995,132.240005,133.25,133.25,7199300
12-06-2013,132.949997,134.830002,132.830002,134.25,134.25,6550600
13-06-2013,133.309998,134.199997,132.820007,133.740005,133.740005,7161800
14-06-2013,134,134.600006,133.880005,134.429993,134.429993,4278700
17-06-2013,133.889999,134.059998,133.520004,133.770004,133.770004,4072300
18-06-2013,132.720001,132.960007,131.529999,132.130005,132.130005,7379300
19-06-2013,132.580002,133.149994,130.380005,130.589996,130.589996,13017800
20-06-2013,125.220001,126.379997,123.330002,123.599998,123.599998,28872100
21-06-2013,125.160004,125.57,124.459999,125.050003,125.050003,16600000
24-06-2013,124.309998,124.699997,123.309998,123.93,123.93,12749300
25-06-2013,123.650002,123.900002,122.879997,123.470001,123.470001,9369200
01-07-2013,119.940002,121.949997,119.379997,121.129997,121.129997,15945200
02-07-2013,121.339996,121.470001,119.779999,120.050003,120.050003,10550300
03-07-2013,120.699997,121.769997,120.540001,120.739998,120.739998,6750300
05-07-2013,118.080002,118.18,116.739998,118.089996,118.089996,11592500
08-07-2013,119.089996,119.660004,118.93,119.510002,119.510002,8652200
09-07-2013,120.839996,121.510002,120.050003,120.620003,120.620003,8201400
